onwetenders;onwetenders;form;onwetend;onwetend;14002
omzet;omzet;normal;omzet;omzet;14006
omzetje;omzetje;form;omzet;omzet;14006
omheining;omheining;normal;omheining;omheining;14007
omheininkje;omheininkje;form;omheining;omheining;14007
octopus;octopus;normal;octopus;octopus;14008
octopusje;octopusje;form;octopus;octopus;14008
noodzakelijke;noodzakelijke;normal;noodzakelijke;noodzakelijke;14009
niveaus;niveaus;normal;niveaus;niveaus;14010
misleiding;misleiding;normal;misleiding;misleiding;14012
mejuffrouw;mejuffrouw;normal;mejuffrouw;mejuffrouw;14013
mejuffrouwen;mejuffrouwen;form;mejuffrouw;mejuffrouw;14013
mandje;mandje;normal;mandje;mandje;14014
mandjes;mandjes;form;mandje;mandje;14014
loopjongen;loopjongen;normal;loopjongen;loopjongen;14017
leermeester;leermeester;normal;leermeester;leermeester;14019
leermeestertje;leermeestertje;form;leermeester;leermeester;14019
lanceer;lanceer;normal;lanceer;lanceer;14020
kroning;kroning;normal;kroning;kroning;14021
kroninkje;kroninkje;form;kroning;kroning;14021
koepel;koepel;normal;koepel;koepel;14023
koepeltje;koepeltje;form;koepel;koepel;14023
jurisdictie;jurisdictie;normal;jurisdictie;jurisdictie;14025
jurisdictiën;jurisdictiën;form;jurisdictie;jurisdictie;14025
ingenieurs;ingenieurs;normal;ingenieurs;ingenieurs;14026
ideetje;ideetje;normal;ideetje;ideetje;14027
huurder;huurder;normal;huurder;huurder;14028
huurders;huurders;form;huurder;huurder;14028
huurdertje;huurdertje;form;huurder;huurder;14028
huiszoeking;huiszoeking;normal;huiszoeking;huiszoeking;14029
huiszoekinkje;huiszoekinkje;form;huiszoeking;huiszoeking;14029
hokje;hokje;normal;hokje;hokje;14030
hokjes;hokjes;form;hokje;hokje;14030
herbouwen;herbouwen;normal;herbouwen;herbouwen;14034
herbouwde;herbouwde;form;herbouwen;herbouwen;14034
herbouwe;herbouwe;form;herbouwen;herbouwen;14034
herbouwend;herbouwend;form;herbouwen;herbouwen;14034
halfbloed;halfbloed;normal;halfbloed;halfbloed;14036
gezichtje;gezichtje;normal;gezichtje;gezichtje;14040
gezichtjes;gezichtjes;form;gezichtje;gezichtje;14040
gewikkeld;gewikkeld;normal;gewikkeld;gewikkeld;14041
geuren;geuren;normal;geuren;geuren;14042
gegeurd;gegeurd;form;geuren;geuren;14042
geurden;geurden;form;geuren;geuren;14042
geure;geure;form;geuren;geuren;14042
gestikt;gestikt;normal;gestikt;gestikt;14043
geschriften;geschriften;normal;geschriften;geschriften;14044
geschieden;geschieden;normal;geschieden;geschieden;14045
geschiedend;geschiedend;form;geschieden;geschieden;14045
gerealiseerd;gerealiseerd;normal;gerealiseerd;gerealiseerd;14046
gedaante;gedaante;normal;gedaante;gedaante;14047
gedaantetje;gedaantetje;form;gedaante;gedaante;14047
fantasia;fantasia;normal;fantasia;fantasia;14048
fakkel;fakkel;normal;fakkel;fakkel;14049
fakkeltje;fakkeltje;form;fakkel;fakkel;14049
drastisch;drastisch;normal;drastisch;drastisch;14051
dopen;dopen;normal;dopen;dopen;14052
dopend;dopend;form;dopen;dopen;14052
donkerder;donkerder;normal;donkerder;donkerder;14053
denkend;denkend;normal;denkend;denkend;14054
democratische;democratische;normal;democratische;democratische;14055
democraten;democraten;normal;democraten;democraten;14056
dametje;dametje;normal;dametje;dametje;14057
daarstraks;daarstraks;normal;daarstraks;daarstraks;14058
biljet;biljet;normal;biljet;biljet;14061
biljetje;biljetje;form;biljet;biljet;14061
bijpraten;bijpraten;normal;bijpraten;bijpraten;14062
bijgepraat;bijgepraat;form;bijpraten;bijpraten;14062
bijpraat;bijpraat;form;bijpraten;bijpraten;14062
bijpraatte;bijpraatte;form;bijpraten;bijpraten;14062
bijpraatten;bijpraatten;form;bijpraten;bijpraten;14062
bijprate;bijprate;form;bijpraten;bijpraten;14062
bijpratend;bijpratend;form;bijpraten;bijpraten;14062
bevorderd;bevorderd;normal;bevorderd;bevorderd;14063
besturing;besturing;normal;besturing;besturing;14064
beschikken;beschikken;normal;beschikken;beschikken;14065
beschikke;beschikke;form;beschikken;beschikken;14065
beschikkend;beschikkend;form;beschikken;beschikken;14065
belazer;belazer;normal;belazer;belazer;14066
automaat;automaat;normal;automaat;automaat;14068
automaatje;automaatje;form;automaat;automaat;14068
assistenten;assistenten;normal;assistenten;assistenten;14070
antichrist;antichrist;normal;antichrist;antichrist;14072
antichristen;antichristen;form;antichrist;antichrist;14072
aanblik;aanblik;normal;aanblik;aanblik;14074
aanblikken;aanblikken;form;aanblik;aanblik;14074
aanblikje;aanblikje;form;aanblik;aanblik;14074
zwakheden;zwakheden;normal;zwakheden;zwakheden;14075
zonnestelsel;zonnestelsel;normal;zonnestelsel;zonnestelsel;14076
zonnestelseltje;zonnestelseltje;form;zonnestelsel;zonnestelsel;14076
worde;worde;normal;worde;worde;14077
wis;wis;normal;wis;wis;14078
wisje;wisje;form;wis;wis;14078
verschilt;verschilt;normal;verschilt;verschilt;14079
vergaren;vergaren;normal;vergaren;vergaren;14080
vergare;vergare;form;vergaren;vergaren;14080
vergarend;vergarend;form;vergaren;vergaren;14080
verbreek;verbreek;normal;verbreek;verbreek;14081
vastzat;vastzat;normal;vastzat;vastzat;14082
turbo;turbo;normal;turbo;turbo;14083
tuinieren;tuinieren;normal;tuinieren;tuinieren;14084
tuinierden;tuinierden;form;tuinieren;tuinieren;14084
tuiniere;tuiniere;form;tuinieren;tuinieren;14084
tuinierend;tuinierend;form;tuinieren;tuinieren;14084
teleurstellend;teleurstellend;normal;teleurstellend;teleurstellend;14087
teleurstellende;teleurstellende;form;teleurstellend;teleurstellend;14087
teleurstellender;teleurstellender;form;teleurstellend;teleurstellend;14087
teleurstellendere;teleurstellendere;form;teleurstellend;teleurstellend;14087
teleurstellendste;teleurstellendste;form;teleurstellend;teleurstellend;14087
teleurstellends;teleurstellends;form;teleurstellend;teleurstellend;14087
teleurstellenders;teleurstellenders;form;teleurstellend;teleurstellend;14087
spreker;spreker;normal;spreker;spreker;14088
sprekers;sprekers;form;spreker;spreker;14088
sprekertje;sprekertje;form;spreker;spreker;14088
snotneus;snotneus;normal;snotneus;snotneus;14090
slapend;slapend;normal;slapend;slapend;14091
sanatorium;sanatorium;normal;sanatorium;sanatorium;14096
sanatoria;sanatoria;form;sanatorium;sanatorium;14096
sanatoriumpje;sanatoriumpje;form;sanatorium;sanatorium;14096
roeren;roeren;normal;roeren;roeren;14098
roere;roere;form;roeren;roeren;14098
recentelijk;recentelijk;normal;recentelijk;recentelijk;14100
pruimen;pruimen;normal;pruimen;pruimen;14101
pruimde;pruimde;form;pruimen;pruimen;14101
gepruimd;gepruimd;form;pruimen;pruimen;14101
pruimt;pruimt;form;pruimen;pruimen;14101
pruimden;pruimden;form;pruimen;pruimen;14101
pruime;pruime;form;pruimen;pruimen;14101
pruimend;pruimend;form;pruimen;pruimen;14101
prater;prater;normal;prater;prater;14102
pratertje;pratertje;form;prater;prater;14102
polsslag;polsslag;normal;polsslag;polsslag;14103
polsslagje;polsslagje;form;polsslag;polsslag;14103
poeh;poeh;normal;poeh;poeh;14104
patsy;patsy;normal;patsy;patsy;14105
opendoet;opendoet;normal;opendoet;opendoet;14106
onwaardig;onwaardig;normal;onwaardig;onwaardig;14107
onwaardiger;onwaardiger;form;onwaardig;onwaardig;14107
onwaardigere;onwaardigere;form;onwaardig;onwaardig;14107
onwaardigste;onwaardigste;form;onwaardig;onwaardig;14107
onwaardigs;onwaardigs;form;onwaardig;onwaardig;14107
onwaardigers;onwaardigers;form;onwaardig;onwaardig;14107
ontstoken;ontstoken;normal;ontstoken;ontstoken;14108
ontmantelen;ontmantelen;normal;ontmantelen;ontmantelen;14109
ontmantelde;ontmantelde;form;ontmantelen;ontmantelen;14109
ontmanteld;ontmanteld;form;ontmantelen;ontmantelen;14109
ontmantel;ontmantel;form;ontmantelen;ontmantelen;14109
ontmantelt;ontmantelt;form;ontmantelen;ontmantelen;14109
ontmantelden;ontmantelden;form;ontmantelen;ontmantelen;14109
ontmantele;ontmantele;form;ontmantelen;ontmantelen;14109
ontmantelend;ontmantelend;form;ontmantelen;ontmantelen;14109
onnodige;onnodige;normal;onnodige;onnodige;14110
ongehoord;ongehoord;normal;ongehoord;ongehoord;14111
ongehoorde;ongehoorde;form;ongehoord;ongehoord;14111
ongehoorder;ongehoorder;form;ongehoord;ongehoord;14111
ongehoordere;ongehoordere;form;ongehoord;ongehoord;14111
ongehoordste;ongehoordste;form;ongehoord;ongehoord;14111
ongehoords;ongehoords;form;ongehoord;ongehoord;14111
ongehoorders;ongehoorders;form;ongehoord;ongehoord;14111
ondenkbaar;ondenkbaar;normal;ondenkbaar;ondenkbaar;14112
ondenkbaarder;ondenkbaarder;form;ondenkbaar;ondenkbaar;14112
ondenkbaardere;ondenkbaardere;form;ondenkbaar;ondenkbaar;14112
ondenkbaarste;ondenkbaarste;form;ondenkbaar;ondenkbaar;14112
ondenkbaars;ondenkbaars;form;ondenkbaar;ondenkbaar;14112
ondenkbaarders;ondenkbaarders;form;ondenkbaar;ondenkbaar;14112
officiers;officiers;normal;officiers;officiers;14113
obstakel;obstakel;normal;obstakel;obstakel;14114
notaris;notaris;normal;notaris;notaris;14115
notarissen;notarissen;form;notaris;notaris;14115
notarisje;notarisje;form;notaris;notaris;14115
noodweer;noodweer;normal;noodweer;noodweer;14116
noodweren;noodweren;form;noodweer;noodweer;14116
noodweertje;noodweertje;form;noodweer;noodweer;14116
neutrale;neutrale;normal;neutrale;neutrale;14118
mensenlevens;mensenlevens;normal;mensenlevens;mensenlevens;14119
meegedaan;meegedaan;normal;meegedaan;meegedaan;14120
mascotte;mascotte;normal;mascotte;mascotte;14122
mascotje;mascotje;form;mascotte;mascotte;14122
koplampen;koplampen;normal;koplampen;koplampen;14125
knalde;knalde;normal;knalde;knalde;14126
kever;kever;normal;kever;kever;14128
kerncentrale;kerncentrale;normal;kerncentrale;kerncentrale;14129
kerncentraletje;kerncentraletje;form;kerncentrale;kerncentrale;14129
isabella;isabella;normal;isabella;isabella;14130
inzitten;inzitten;normal;inzitten;inzitten;14131
inzitte;inzitte;form;inzitten;inzitten;14131
inzate;inzate;form;inzitten;inzitten;14131
immigranten;immigranten;normal;immigranten;immigranten;14132
ijshockey;ijshockey;normal;ijshockey;ijshockey;14133
harteloos;harteloos;normal;harteloos;harteloos;14134
harteloze;harteloze;form;harteloos;harteloos;14134
hartelozer;hartelozer;form;harteloos;harteloos;14134
hartelozere;hartelozere;form;harteloos;harteloos;14134
hartelooste;hartelooste;form;harteloos;harteloos;14134
hartelozers;hartelozers;form;harteloos;harteloos;14134
haas;haas;normal;haas;haas;14136
gynaecoloog;gynaecoloog;normal;gynaecoloog;gynaecoloog;14137
gynaecologen;gynaecologen;form;gynaecoloog;gynaecoloog;14137
gynaecoloogje;gynaecoloogje;form;gynaecoloog;gynaecoloog;14137
gregor;gregor;normal;gregor;gregor;14138
gezang;gezang;normal;gezang;gezang;14140
gezangetje;gezangetje;form;gezang;gezang;14140
geraak;geraak;normal;geraak;geraak;14141
genomineerd;genomineerd;normal;genomineerd;genomineerd;14143
gehersenspoeld;gehersenspoeld;normal;gehersenspoeld;gehersenspoeld;14144
filmsterren;filmsterren;normal;filmsterren;filmsterren;14146
eskader;eskader;normal;eskader;eskader;14148
eskadertje;eskadertje;form;eskader;eskader;14148
eeuwenlang;eeuwenlang;normal;eeuwenlang;eeuwenlang;14150
echtpaar;echtpaar;normal;echtpaar;echtpaar;14151
echtpaartje;echtpaartje;form;echtpaar;echtpaar;14151
dwalen;dwalen;normal;dwalen;dwalen;14152
dwale;dwale;form;dwalen;dwalen;14152
doordringen;doordringen;normal;doordringen;doordringen;14153
doordrongt;doordrongt;form;doordringen;doordringen;14153
doordringe;doordringe;form;doordringen;doordringen;14153
doordronge;doordronge;form;doordringen;doordringen;14153
dino;dino;normal;dino;dino;14154
dino's;dino's;form;dino;dino;14154
dinootje;dinootje;form;dino;dino;14154
catalina;catalina;normal;catalina;catalina;14156
buk;buk;normal;buk;buk;14158
bok;bok;normal;bok;bok;14160
bokje;bokje;form;bok;bok;14160
bloedzuigers;bloedzuigers;normal;bloedzuigers;bloedzuigers;14161
black-out;black-out;normal;black-out;black-out;14162
bewoner;bewoner;normal;bewoner;bewoner;14163
bewonertje;bewonertje;form;bewoner;bewoner;14163
bevind;bevind;normal;bevind;bevind;14164
bestuurd;bestuurd;normal;bestuurd;bestuurd;14165
bekeuring;bekeuring;normal;bekeuring;bekeuring;14166
bekeurinkje;bekeurinkje;form;bekeuring;bekeuring;14166
asjemenou;asjemenou;normal;asjemenou;asjemenou;14167
appeltje;appeltje;normal;appeltje;appeltje;14168
allez;allez;normal;allez;allez;14169
aanwezigen;aanwezigen;normal;aanwezigen;aanwezigen;14170
zuidwesten;zuidwesten;normal;zuidwesten;zuidwesten;14172
zoniet;zoniet;normal;zoniet;zoniet;14173
zittend;zittend;normal;zittend;zittend;14174
zittends;zittends;form;zittend;zittend;14174
woordvoerder;woordvoerder;normal;woordvoerder;woordvoerder;14176
woordvoerdertje;woordvoerdertje;form;woordvoerder;woordvoerder;14176
wijfje;wijfje;normal;wijfje;wijfje;14178
wetend;wetend;normal;wetend;wetend;14179
werkdag;werkdag;normal;werkdag;werkdag;14180
werkdagje;werkdagje;form;werkdag;werkdag;14180
weerhoudt;weerhoudt;normal;weerhoudt;weerhoudt;14181
wasmachine;wasmachine;normal;wasmachine;wasmachine;14182
wasmachinetje;wasmachinetje;form;wasmachine;wasmachine;14182
waaien;waaien;normal;waaien;waaien;14183
waaie;waaie;form;waaien;waaien;14183
verjaardagsfeest;verjaardagsfeest;normal;verjaardagsfeest;verjaardagsfeest;14185
verjaardagsfeesten;verjaardagsfeesten;form;verjaardagsfeest;verjaardagsfeest;14185
uitzonderlijke;uitzonderlijke;normal;uitzonderlijke;uitzonderlijke;14186
typemachine;typemachine;normal;typemachine;typemachine;14187
typemachines;typemachines;form;typemachine;typemachine;14187
typemachinetje;typemachinetje;form;typemachine;typemachine;14187
tussendoor;tussendoor;normal;tussendoor;tussendoor;14188
hiertussendoor;hiertussendoor;form;tussendoor;tussendoor;14188
daartussendoor;daartussendoor;form;tussendoor;tussendoor;14188
waartussendoor;waartussendoor;form;tussendoor;tussendoor;14188
toeter;toeter;normal;toeter;toeter;14189
toeters;toeters;form;toeter;toeter;14189
toetertje;toetertje;form;toeter;toeter;14189
toetere;toetere;form;toeter;toeter;14189
toeterder;toeterder;form;toeter;toeter;14189
toeterdere;toeterdere;form;toeter;toeter;14189
toeterste;toeterste;form;toeter;toeter;14189
toeterders;toeterders;form;toeter;toeter;14189
stoorde;stoorde;normal;stoorde;stoorde;14191
spuugt;spuugt;normal;spuugt;spuugt;14192
smijten;smijten;normal;smijten;smijten;14193
smijte;smijte;form;smijten;smijten;14193
smete;smete;form;smijten;smijten;14193
shaun;shaun;normal;shaun;shaun;14194
seksualiteit;seksualiteit;normal;seksualiteit;seksualiteit;14195
